lun mar 21 19:30:00 CET 2022 success {'type': 'ground humidity', 'value': 0.2356, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 29, 34, 365556), '_id': ObjectId('6238c40e24b85e3a66b03264')} {'type': 'ground humidity', 'value': 0.8338, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 29, 45, 55999), '_id': ObjectId('6238c41924b85e3a66b03265')} {'type': 'ambient humidity', 'value': 98.5999984741211, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 29, 46, 853270), '_id': ObjectId('6238c41a24b85e3a66b03266')} {'type': 'ambient humidity', 'value': 95.19999694824219, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 29, 51, 130159), '_id': ObjectId('6238c41f24b85e3a66b03267')} {'type': 'ambient temperature', 'value': 10.199999809265137, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 29, 52, 874188), '_id': ObjectId('6238c42024b85e3a66b03268')} {'type': 'ambient temperature', 'value': 10.5, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 29, 54, 617135), '_id': ObjectId('6238c42224b85e3a66b03269')} {'type': 'ground temperature', 'value': 13.125, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 29, 58, 135565), '_id': ObjectId('6238c42624b85e3a66b0326a')} {'type': 'ground temperature', 'value': 11.4375, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 30, 0, 55631), '_id': ObjectId('6238c42824b85e3a66b0326b')}

lun mar 21 19:32:36 CET 2022 success {'type': 'ground humidity', 'value': 0.2375, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 32, 18, 56714), '_id': ObjectId('6238c4b251e38ba8df8658dc')} {'type': 'ground humidity', 'value': 0.8348, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 32, 23, 750409), '_id': ObjectId('6238c4b751e38ba8df8658dd')} {'type': 'ambient humidity', 'value': 98.5999984741211, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 32, 25, 498375), '_id': ObjectId('6238c4b951e38ba8df8658de')} {'type': 'ambient humidity', 'value': 95.19999694824219, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 32, 27, 243905), '_id': ObjectId('6238c4bb51e38ba8df8658df')} {'type': 'ambient temperature', 'value': 10.199999809265137, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 32, 28, 989204), '_id': ObjectId('6238c4bc51e38ba8df8658e0')} {'type': 'ambient temperature', 'value': 10.5, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 32, 30, 734125), '_id': ObjectId('6238c4be51e38ba8df8658e1')} {'type': 'ground temperature', 'value': 13.0625, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 32, 34, 215610), '_id': ObjectId('6238c4c251e38ba8df8658e2')} {'type': 'ground temperature', 'value': 11.4375, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 19, 32, 36, 375608), '_id': ObjectId('6238c4c451e38ba8df8658e3')}

lun mar 21 21:04:47 CET 2022 success {'type': 'ground humidity', 'value': 0.2366, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 21, 4, 18, 845403), '_id': ObjectId('6238da4217757661e5210323')} {'type': 'ground humidity', 'value': 0.8387, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 21, 4, 24, 592807), '_id': ObjectId('6238da4817757661e5210324')} {'type': 'ambient humidity', 'value': 98.9000015258789, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 21, 4, 26, 341662), '_id': ObjectId('6238da4a17757661e5210325')} {'type': 'ambient humidity', 'value': 96.19999694824219, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 21, 4, 30, 619061), '_id': ObjectId('6238da4e17757661e5210326')} {'type': 'ambient temperature', 'value': 9.199999809265137, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 21, 4, 37, 434383), '_id': ObjectId('6238da5517757661e5210327')} {'type': 'ambient temperature', 'value': 9.600000381469727, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 21, 4, 41, 708377), '_id': ObjectId('6238da5917757661e5210328')} {'type': 'ground temperature', 'value': 12.3125, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 21, 4, 45, 175606), '_id': ObjectId('6238da5d17757661e5210329')} {'type': 'ground temperature', 'value': 10.6875, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 21, 21, 4, 47, 95644), '_id': ObjectId('6238da5f17757661e521032a')}

mar mar 22 18:23:29 CET 2022 success {'type': 'ground humidity', 'value': 0.2981, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 23, 10, 693250), '_id': ObjectId('623a05fe2ea0f5ff3267630b')} {'type': 'ground humidity', 'value': 0.8133, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 23, 16, 513221), '_id': ObjectId('623a06042ea0f5ff3267630c')} {'type': 'ambient humidity', 'value': 85.19999694824219, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 23, 18, 259872), '_id': ObjectId('623a06062ea0f5ff3267630d')} {'type': 'ambient humidity', 'value': 92.80000305175781, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 23, 20, 4297), '_id': ObjectId('623a06082ea0f5ff3267630e')} {'type': 'ambient temperature', 'value': 11.600000381469727, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 23, 21, 752036), '_id': ObjectId('623a06092ea0f5ff3267630f')} {'type': 'ambient temperature', 'value': 11.899999618530273, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 23, 23, 506245), '_id': ObjectId('623a060b2ea0f5ff32676310')} {'type': 'ground temperature', 'value': 13.6875, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 23, 27, 15573), '_id': ObjectId('623a060f2ea0f5ff32676311')} {'type': 'ground temperature', 'value': 12.9375, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 23, 28, 935575), '_id': ObjectId('623a06102ea0f5ff32676312')}

mar mar 22 18:27:59 CET 2022 success {'type': 'ground humidity', 'value': 0.2981, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 27, 41, 317199), '_id': ObjectId('623a070dc1146d6ea7a3f018')} {'type': 'ground humidity', 'value': 0.8123, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 27, 47, 69908), '_id': ObjectId('623a0713c1146d6ea7a3f019')} {'type': 'ambient humidity', 'value': 84.69999694824219, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 27, 48, 839566), '_id': ObjectId('623a0714c1146d6ea7a3f01a')} {'type': 'ambient humidity', 'value': 93.0999984741211, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 27, 50, 584721), '_id': ObjectId('623a0716c1146d6ea7a3f01b')} {'type': 'ambient temperature', 'value': 11.300000190734863, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 27, 52, 332474), '_id': ObjectId('623a0718c1146d6ea7a3f01c')} {'type': 'ambient temperature', 'value': 11.699999809265137, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 27, 54, 84143), '_id': ObjectId('623a071ac1146d6ea7a3f01d')} {'type': 'ground temperature', 'value': 13.625, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 27, 57, 575617), '_id': ObjectId('623a071dc1146d6ea7a3f01e')} {'type': 'ground temperature', 'value': 12.6875, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 27, 59, 495586), '_id': ObjectId('623a071fc1146d6ea7a3f01f')}

mar mar 22 18:53:48 CET 2022 success {'type': 'ground humidity', 'value': 0.2972, 'sensorID': 0, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 53, 22, 393501), '_id': ObjectId('623a0d1251aa7091148f0713')} {'type': 'ground humidity', 'value': 0.8162, 'sensorID': 1, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 53, 27, 977131), '_id': ObjectId('623a0d1751aa7091148f0714')} {'type': 'ambient humidity', 'value': 87.69999694824219, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 53, 32, 256576), '_id': ObjectId('623a0d1c51aa7091148f0715')} {'type': 'ambient humidity', 'value': 94.5, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 53, 34, 3792), '_id': ObjectId('623a0d1e51aa7091148f0716')} {'type': 'ambient temperature', 'value': 10.5, 'sensorID': 22, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 53, 38, 347131), '_id': ObjectId('623a0d2251aa7091148f0717')} {'type': 'ambient temperature', 'value': 11.199999809265137, 'sensorID': 27, 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 53, 42, 622666), '_id': ObjectId('623a0d2651aa7091148f0718')} {'type': 'ground temperature', 'value': 13.25, 'sensorID': '325a0f1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 53, 46, 175558), '_id': ObjectId('623a0d2a51aa7091148f0719')} {'type': 'ground temperature', 'value': 11.8125, 'sensorID': '32360c1e64ff', 'location': 'indoor', 'date': datetime.datetime(2022, 3, 22, 18, 53, 48, 55690), '_id': ObjectId('623a0d2c51aa7091148f071a')}
